language,x1,x2,x3,x4,x5,x6,x7,x8
temb1276,-,z,e,-,t,3,k,-
tupi1273,-,y,e,-,t,3,k,-
guaj1255,-,z,3,-,t,3,k,-
xing1248,-,y,3,-,t,3,k,-
kama1373,-,y,e,-,t,3,k,-
urub1250,-,y,3,-,t,3,k,-
waya1270,-,y,e,-,t,3,p,e
avac1239,d,Z,i,-,C,i,k,-
east2555,-,y,e,-,t,3,-,-
para1311,-,y,e,-,t,3,-,-
mbya1239,d,Z,e,-,t,3,-,-
guar1292,-,y,e,-,t,3,-,-
nhen1239,-,b,a,-,t,a,t,a
kaya1329,-,y,e,-,t,3,k,-
amun1246,-,-,i,-,t,3,k,-
urue1240,-,-,i,-,t,3,k,-
tenh1241,-,y,i,-,t,3,g,-
paus1244,-,8,e,-,t,i,-,-
emer1243,-,z,e,-,t,i,k,-
para1312,-,C,3,-,t,3,g,-
tapi1254,-,C,e,-,t,3,k,-
suru1262,-,s,e,-,t,3,g,-
apia1248,-,s,3,-,t,e,g,-
araw1273,-,y,3,-,t,i,r,i
coca1259,-,y,i,-,t,i,k,a
xeta1241,-,b,a,-,t,a,t,a
siri1273,-,5,i,-,t,i,-,-
sate1243,u,r,i,u,r,u,-,-
awet1244,-,t,e,-,Z,3,k,-
