language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
dugw1239,-,k,u,-,-,-,r,o,w,-,-,-,g,a,r,-,-,-,-,-,-,-,-,-,T,-,-,3,l,-,a,-
mere1246,-,k,u,-,-,-,r,o,-,-,-,-,g,3,r,-,-,e,y,e,-,-,t,a,L,-,-,3,l,-,a,-
nort3047,-,k,u,-,-,-,r,u,n,-,-,-,g,a,n,-,-,-,-,-,-,-,-,-,t,-,-,a,r,n,a,-
cuvo1236,-,k,u,-,-,-,r,a,-,-,-,-,w,-,d,a,p,3,y,a,N,a,n,a,t,-,-,a,L,-,a,-
buwa1243,-,w,o,-,m,o,h,o,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,s,-,-,3,l,-,e,d
gava1241,-,w,o,-,m,o,h,o,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,S,-,-,i,l,-,i,d
mbed1242,-,w,o,m,m,e,d,e,-,-,-,-,k,-,d,-,-,i,-,-,-,-,-,-,s,-,-,y,l,-,i,d
lagw1237,x,k,-,-,-,-,-,a,n,k,a,-,k,a,-,-,-,-,-,-,-,-,-,-,t,-,-,u,l,-,-,-
mser1242,-,k,-,-,-,-,-,a,n,d,3,n,k,a,-,-,-,-,-,-,-,-,-,-,t,-,-,o,l,-,-,-
afad1236,-,k,-,-,-,-,-,a,n,-,-,-,g,o,-,-,-,-,-,-,-,-,-,-,d,-,-,u,l,-,o,-
mpad1242,-,k,-,-,-,-,-,a,n,-,-,-,g,o,-,-,-,-,-,-,-,-,-,-,t,-,-,u,l,-,u,r
malg1250,-,k,-,-,-,-,-,a,n,-,-,-,g,a,-,-,-,-,-,-,-,-,-,-,t,-,-,u,l,-,u,r
chad1249,-,s,-,-,-,-,-,a,-,-,-,-,b,a,-,-,-,-,-,-,-,-,-,-,t,a,T,a,r,-,-,-
